UID          PID    PPID  C STIME TTY          TIME CMD
polkitd      933       1  0 08:47 ?        00:00:02 /usr/lib/polkit-1/polkitd --no-debug
root         939       1  0 08:47 ?        00:00:00 /usr/libexec/power-profiles-daemon
root         964       1  0 08:47 ?        00:00:05 /usr/sbin/rsyslogd -n
rtkit        969       1  0 08:47 ?        00:00:00 /usr/libexec/rtkit-daemon
root         978       1  0 08:47 ?        00:00:00 /usr/sbin/smartd -n -q never --capabilities=mail
root         991       1  0 08:47 ?        00:00:00 /usr/libexec/accounts-daemon
root         996       1  0 08:47 ?        00:00:00 /usr/libexec/switcheroo-control
root        1015       1  0 08:47 ?        00:00:00 /usr/lib/systemd/systemd-homed
root        1021       1  0 08:47 ?        00:00:07 /usr/lib/systemd/systemd-logind
root        1026       1  0 08:47 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1036       1  0 08:47 ?        00:00:02 /usr/libexec/upowerd
root        1039       2  0 08:47 ?        00:00:00 [psimon]
chrony      1043       1  0 08:47 ?        00:00:00 /usr/sbin/chronyd -F 2
root        1049       1  0 08:47 ?        00:00:00 /usr/sbin/abrtd -d -s
avahi       1109     892  0 08:47 ?        00:00:00 avahi-daemon: chroot helper
root        1114       1  0 08:47 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root        1160       1  0 08:47 ?        00:00:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root        1166       1  0 08:47 ?        00:00:00 /usr/bin/abrt-dump-journal-oops -fxtD
root        1167       1  0 08:47 ?        00:00:00 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1182       1  0 08:47 ?        00:00:00 /usr/sbin/ModemManager
root        1183       1  0 08:47 ?        00:00:00 /usr/bin/python3 -sP /usr/sbin/firewalld --nofork --nopid
root        1211       1  0 08:47 ?        00:00:03 /usr/sbin/NetworkManager --no-daemon
root        1242       1  0 08:47 ?        00:00:00 /usr/sbin/cupsd -l
root        1250       1  0 08:47 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
colord      1273       1  0 08:47 ?        00:00:00 /usr/libexec/colord
root        1284       1  0 08:47 ?        00:00:00 /usr/sbin/gssproxy -D
root        1298       2  0 08:47 ?        00:00:00 [nv_queue]
root        1299       2  0 08:47 ?        00:00:00 [nv_queue]
root        1300       2  0 08:47 ?        00:00:00 [nv_open_q]
root        1392       1  0 08:47 ?        00:00:00 /usr/libexec/postfix/master -w
postfix     1394    1392  0 08:47 ?        00:00:00 qmgr -l -t unix -u
root        1397       2  0 08:47 ?        00:00:00 [UVM global queue]
root        1398       2  0 08:47 ?        00:00:00 [UVM deferred release queue]
root        1399       2  0 08:47 ?        00:00:00 [UVM Tools Event Queue]
root        1403       2  0 08:47 ?        00:00:00 [nvidia-modeset/kthread_q]
root        1404       2  0 08:47 ?        00:00:00 [nvidia-modeset/deferred_close_kthread_q]
root        1405       2  0 08:47 ?        00:00:00 [irq/162-nvidia]
root        1406       2  0 08:47 ?        00:00:00 [nvidia]
root        1407       2  0 08:47 ?        00:00:00 [nv_queue]
nx          1443       1  0 08:47 ?        00:00:24 /usr/NX/bin/nxserver.bin --daemon
rpcuser     1451       1  0 08:47 ?        00:00:00 /usr/sbin/rpc.statd
root        1476       2  0 08:47 ?        00:00:00 [kworker/R-nfsio]
root        1482       2  0 08:47 ?        00:00:00 [lockd]
root        1487       1  0 08:47 ?        00:00:00 /usr/sbin/automount --systemd-service --dont-check-daemon
root        1496       1  0 08:47 ?        00:00:00 /usr/sbin/atd -f
root        1504       1  0 08:47 ?        00:00:00 /usr/sbin/crond -n
root        1510       1  0 08:47 ?        00:00:00 /usr/bin/sddm
root        1518       1  0 08:47 ?        00:00:00 /usr/libexec/uresourced
root        1520       2  0 08:47 ?        00:00:00 [psimon]
root        1629       2  0 08:47 ?        00:00:00 [krfcommd]
nx          1632    1443  0 08:47 ?        00:00:00 /usr/NX/bin/nxd
root        1791    1510  0 08:47 ?        00:00:00 /usr/libexec/sddm-helper --socket /tmp/sddm-auth-bf44f77a-4103-4b86-9d15-d26d7ddbbd51 --id 1 --start /usr/libexec/plasma-dbus-run-session-if-needed /usr/bin/startplasma-wayland --user rnyhof
rnyhof      1797       1  0 08:47 ?        00:00:01 /usr/lib/systemd/systemd --user
rnyhof      1799    1797  0 08:47 ?        00:00:00 (sd-pam)
rnyhof      1829    1797  0 08:47 ?        00:00:00 /usr/bin/dbus-broker-launch --scope user
rnyhof      1830    1829  0 08:47 ?        00:00:01 dbus-broker --log 4 --controller 10 --machine-id 224ade994a9c4580a1728872d377bcd1 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
rnyhof      1844       1  0 08:47 ?        00:00:00 /usr/bin/kwalletd6 --pam-login 13 14
rnyhof      1845    1791  0 08:47 tty2     00:00:00 /usr/bin/startplasma-wayland
rnyhof      2074    1797  0 08:47 ?        00:00:00 /usr/bin/kwin_wayland_wrapper --xwayland
rnyhof      2076    1797  0 08:47 ?        00:00:00 /usr/libexec/uresourced --user
rnyhof      2078    1797  0 08:47 ?        00:01:21 /usr/bin/pipewire
rnyhof      2079    1797  0 08:47 ?        00:00:02 /usr/bin/wireplumber
rnyhof      2080    1797  0 08:47 ?        00:02:43 /usr/bin/pipewire-pulse
rnyhof      2087    2074  3 08:47 ?        00:11:03 /usr/bin/kwin_wayland --wayland-fd 7 --socket wayland-0 --xwayland-fd 8 --xwayland-fd 9 --xwayland-display :0 --xwayland-xauthority /run/user/1026/xauth_MQwJoE --xwayland
rnyhof      2109    1797  0 08:47 ?        00:00:01 /usr/libexec/xdg-desktop-portal
rnyhof      2120    1797  0 08:47 ?        00:00:00 /usr/libexec/xdg-document-portal
rnyhof      2130    1797  0 08:47 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2137    2120  0 08:47 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1026/doc
rnyhof      2171    2087  0 08:47 ?        00:00:11 /usr/bin/maliit-keyboard
rnyhof      2196    2087  0 08:47 ?        00:00:29 /usr/bin/Xwayland :0 -auth /run/user/1026/xauth_MQwJoE -listenfd 91 -listenfd 92 -displayfd 82 -rootless -wm 86
rnyhof      2217    1797  0 08:47 ?        00:00:00 /usr/bin/ksmserver
rnyhof      2220    1797  0 08:47 ?        00:00:02 /usr/bin/kded6
rnyhof      2247    1797  0 08:47 ?        00:00:25 /usr/bin/plasmashell --no-respawn
rnyhof      2281    1797  0 08:47 ?        00:00:00 /usr/libexec/kactivitymanagerd
rnyhof      2283    1797  0 08:47 ?        00:00:00 /usr/libexec/dconf-service
rnyhof      2315    1797  0 08:47 ?        00:00:00 /usr/bin/gmenudbusmenuproxy
rnyhof      2317    1797  0 08:47 ?        00:00:00 /usr/libexec/kf6/polkit-kde-authentication-agent-1
rnyhof      2318    1797  0 08:47 ?        00:00:00 /usr/libexec/org_kde_powerdevil
rnyhof      2321    1797  0 08:47 ?        00:00:01 /usr/libexec/xdg-desktop-portal-kde
rnyhof      2322    1797  0 08:47 ?        00:00:00 /usr/bin/xembedsniproxy
rnyhof      2324    1797  0 08:47 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1026/ssh-agent.socket
rnyhof      2347    1797  0 08:47 ?        00:00:00 /usr/bin/xsettingsd
rnyhof      2356    1797  0 08:47 ?        00:00:00 /usr/libexec/bluetooth/obexd
rnyhof      2392    1797  0 08:47 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
rnyhof      2412    1797  0 08:47 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
rnyhof      2418    2412  0 08:47 ?        00:00:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
rnyhof      2419    2418  0 08:47 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id 224ade994a9c4580a1728872d377bcd1 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
rnyhof      2431    1797  0 08:47 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
rnyhof      2490    1797  0 08:47 ?        00:00:00 /usr/bin/abrt-applet --gapplication-service
rnyhof      2499    1797  0 08:47 ?        00:00:01 /usr/libexec/kdeconnectd
rnyhof      2507    1797  0 08:47 ?        00:00:00 /usr/bin/xwaylandvideobridge
rnyhof      2537    1797  0 08:47 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
rnyhof      2551    1797  0 08:47 ?        00:00:00 /usr/bin/kaccess
root        2582       1  0 08:47 ?        00:00:00 /usr/sbin/abrt-dbus -t133
rnyhof      2672    1797  0 08:47 ?        00:00:00 /usr/libexec/imsettings-daemon
