UID          PID    PPID  C STIME TTY          TIME CMD
rnyhof      3476    3324  0 07:29 ?        00:00:14 /usr/lib64/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 36876 -prefMapSize 238976 -jsInitLen 234952 -parentBuildID 20240313130426 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {0e14ae2b-bd45-4f92-a690-8e686b81c0f8} 3324 true tab
rnyhof      3573    3324  0 07:29 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240313130426 -sandboxingKind 0 -prefsLen 36863 -prefMapSize 238976 -appDir /usr/lib64/firefox/browser {d21009c6-f477-4fc5-bc97-27ba65d8fbf0} 3324 true utility
root        4829       2  0 07:48 ?        00:00:02 [kworker/0:10H-kblockd]
root        5045       2  0 07:57 ?        00:00:00 [kworker/0:13H-kblockd]
rnyhof      5396    3324  0 08:01 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20240313130426 -prefsLen 36885 -prefMapSize 238976 -appDir /usr/lib64/firefox/browser {40902b7f-bd63-4e97-8eda-d8a115c917a5} 3324 true rdd
rnyhof      5788    3324  0 08:07 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -childID 18 -isForBrowser -prefsLen 31951 -prefMapSize 238976 -jsInitLen 234952 -parentBuildID 20240313130426 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {d06d35a0-45ab-466b-9b3d-d24bf642345b} 3324 true tab
rnyhof      5821    3324  0 08:07 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -childID 19 -isForBrowser -prefsLen 31951 -prefMapSize 238976 -jsInitLen 234952 -parentBuildID 20240313130426 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {7d625028-e815-4328-80f1-132d657483b2} 3324 true tab
rnyhof      5858    3324  0 08:07 ?        00:00:00 /usr/lib64/firefox/firefox -contentproc -childID 20 -isForBrowser -prefsLen 31951 -prefMapSize 238976 -jsInitLen 234952 -parentBuildID 20240313130426 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser {37f14c4a-4e63-4c91-80e2-1d287b56bef1} 3324 true tab
root        8468       2  0 10:24 ?        00:00:01 [kworker/0:1-events]
root        8555       2  0 10:29 ?        00:00:00 [kworker/u2:1-events_unbound]
postfix     9040    1020  0 10:43 ?        00:00:00 pickup -l -t unix -u
rnyhof      9266    2513  0 10:52 pts/0    00:00:00 esh fr
rnyhof      9269    9266  0 10:52 pts/0    00:00:00 ssh -o StrictHostKeyChecking=no -o ConnectTimeout=10 root@172.16.1.125
root        9324       2  0 10:54 ?        00:00:00 [kworker/0:2-ata_sff]
root        9341       2  0 10:59 ?        00:00:00 [kworker/u2:0-events_unbound]
rnyhof      9433    2455  0 11:12 pts/1    00:00:00 /bin/ksh -l
root        9915       2  0 11:28 ?        00:00:00 [kworker/u2:3-events_unbound]
root       10003       2  0 11:31 ?        00:00:00 [kworker/0:3-ata_sff]
rnyhof     10029    1197  0 11:32 ?        00:00:04 /usr/share/code/code C.code-workspace
rnyhof     10034   10029  0 11:32 ?        00:00:00 /usr/share/code/code --type=zygote --no-zygote-sandbox
rnyhof     10035   10029  0 11:32 ?        00:00:00 /usr/share/code/code --type=zygote
rnyhof     10037   10035  0 11:32 ?        00:00:00 /usr/share/code/code --type=zygote
rnyhof     10050    1197  0 11:32 ?        00:00:00 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/rnyhof/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=1e2d1e27-a696-422e-8b09-4bddeb4c350a&iid=1e2d1e27-a696-422e-8b09-4bddeb4c350a&sid=1e2d1e27-a696-422e-8b09-4bddeb4c350a --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.87.2 --annotation=lsb-release=Fedora Linux 39 (KDE Plasma) --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=27.3.2 --initial-client-fd=45 --shared-client-connection
rnyhof     10068   10034  1 11:32 ?        00:00:09 /usr/share/code/code --type=gpu-process --crashpad-handler-pid=10050 --enable-crash-reporter=0ac19b25-f557-4f3d-8ec6-e2e9191a7731,no_channel --user-data-dir=/home/rnyhof/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,6777421044754556622,16384782471014866896,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
rnyhof     10072   10029  0 11:32 ?        00:00:00 /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=10050 --enable-crash-reporter=0ac19b25-f557-4f3d-8ec6-e2e9191a7731,no_channel --user-data-dir=/home/rnyhof/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6777421044754556622,16384782471014866896,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
rnyhof     10105   10037  2 11:32 ?        00:00:24 /usr/share/code/code --type=renderer --crashpad-handler-pid=10050 --enable-crash-reporter=0ac19b25-f557-4f3d-8ec6-e2e9191a7731,no_channel --user-data-dir=/home/rnyhof/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --first-renderer-process --lang=en-US --num-raster-threads=1 --renderer-client-id=4 --time-ticks-at-unix-epoch=-1711002175141598 --launch-time-ticks=14976750179 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6777421044754556622,16384782471014866896,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:d07873ac-6050-4e2e-a175-d2cd89710bd3
rnyhof     10118   10029  0 11:32 ?        00:00:02 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=10050 --enable-crash-reporter=0ac19b25-f557-4f3d-8ec6-e2e9191a7731,no_channel --user-data-dir=/home/rnyhof/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6777421044754556622,16384782471014866896,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
